Moves,Score,Time,Mean Time Per Move,Did Win,Highest Tile
"{'w': 25, 'a': 26, 's': 19, 'd': 23}",652,0.14,0.0,False,64
"{'w': 35, 'a': 27, 's': 29, 'd': 25}",880,0.16,0.0,False,64
"{'w': 44, 'a': 37, 's': 39, 'd': 42}",1464,0.24,0.0,False,128
"{'w': 25, 'a': 15, 's': 23, 'd': 22}",560,0.11,0.0,False,64
"{'w': 66, 'a': 41, 's': 53, 'd': 56}",2352,0.28,0.0,False,256
"{'w': 25, 'a': 26, 's': 28, 'd': 16}",616,0.13,0.0,False,64
"{'w': 38, 'a': 45, 's': 28, 'd': 29}",1088,0.17,0.0,False,128
"{'w': 14, 'a': 9, 's': 9, 'd': 19}",264,0.08,0.0,False,32
"{'w': 42, 'a': 21, 's': 22, 'd': 29}",740,0.16,0.0,False,64
"{'w': 36, 'a': 38, 's': 23, 'd': 29}",1036,0.17,0.0,False,128
"{'w': 25, 'a': 22, 's': 21, 'd': 24}",672,0.11,0.0,False,64
"{'w': 42, 'a': 26, 's': 30, 'd': 31}",1168,0.16,0.0,False,128
"{'w': 49, 'a': 35, 's': 33, 'd': 32}",1348,0.2,0.0,False,128
"{'w': 62, 'a': 33, 's': 40, 'd': 32}",1504,0.22,0.0,False,128
"{'w': 51, 'a': 26, 's': 26, 'd': 38}",1156,0.2,0.0,False,128
"{'w': 24, 'a': 25, 's': 22, 'd': 18}",600,0.11,0.0,False,64
"{'w': 35, 'a': 26, 's': 21, 'd': 26}",712,0.13,0.0,False,64
"{'w': 41, 'a': 44, 's': 45, 'd': 45}",1640,0.22,0.0,False,128
"{'w': 34, 'a': 22, 's': 20, 'd': 39}",848,0.16,0.0,False,64
"{'w': 49, 'a': 39, 's': 34, 'd': 25}",1268,0.21,0.0,False,128
"{'w': 21, 'a': 31, 's': 24, 'd': 26}",676,0.16,0.0,False,64
"{'w': 34, 'a': 33, 's': 25, 'd': 24}",892,0.14,0.0,False,64
"{'w': 58, 'a': 47, 's': 49, 'd': 54}",2264,0.27,0.0,False,256
"{'w': 42, 'a': 50, 's': 41, 'd': 22}",1132,0.2,0.0,False,64
"{'w': 48, 'a': 27, 's': 32, 'd': 28}",1204,0.19,0.0,False,128
"{'w': 61, 'a': 35, 's': 38, 'd': 26}",1380,0.24,0.0,False,128
"{'w': 34, 'a': 49, 's': 26, 'd': 57}",1396,0.21,0.0,False,128
"{'w': 36, 'a': 24, 's': 16, 'd': 25}",712,0.13,0.0,False,64
